method,location,primitive_id,question_id,top_choice,top_stage,normalized_entropy,raw_ordinal_expectation,endpoint_calibrated_progress_raw,progress_clamped,logprob_A,prob_A,logprob_B,prob_B,logprob_C,prob_C,logprob_D,prob_D,logprob_E,prob_E
ordinal-ensemble,probe_alpha_0.6,ball_color,dominant_color_state,D,3,0.6616097092628479,0.7977756261825562,1.0258864164352417,1.0,-3.623744010925293,0.026699261739850044,-2.748744010925293,0.06404819339513779,-3.998744010925293,0.018350115045905113,-0.7487440705299377,0.4732557237148285,-0.8737440705299377,0.41764670610427856
ordinal-ensemble,probe_alpha_0.6,ball_color,remaining_original_dark_evidence,D,3,0.572235107421875,0.8103870153427124,1.0192923545837402,1.0,-3.837486505508423,0.021557476371526718,-3.337486505508423,0.03554226830601692,-5.337486267089844,0.004810123238712549,-0.5874864459037781,0.5559746623039246,-0.9624864459037781,0.3821154236793518
ordinal-ensemble,probe_alpha_0.6,ball_color,established_target_blue_evidence,E,4,0.5838186740875244,0.8703749179840088,0.9673187732696533,0.9673187732696533,-3.6883366107940674,0.025025947019457817,-3.5633366107940674,0.028358113020658493,-3.4383366107940674,0.03213395178318024,-1.3133366107940674,0.26905426383018494,-0.438336580991745,0.6454277038574219
ordinal-ensemble,probe_alpha_0.8,ball_color,dominant_color_state,D,3,0.6955447793006897,0.7712181806564331,0.9738397598266602,0.9738397598266602,-3.350198984146118,0.03510037809610367,-2.475198984146118,0.08420141786336899,-3.975198984146118,0.01878787763416767,-0.7251990437507629,0.4845457375049591,-0.9751990437507629,0.3773646056652069
ordinal-ensemble,probe_alpha_0.8,ball_color,remaining_original_dark_evidence,D,3,0.5567488074302673,0.8062248826026917,0.9789580702781677,0.9789580702781677,-3.9088757038116455,0.02007163129746914,-3.4088757038116455,0.03309252858161926,-5.408875465393066,0.004478586371988058,-0.5338756442070007,0.5865790843963623,-1.0338757038116455,0.35577815771102905
ordinal-ensemble,probe_alpha_0.8,ball_color,established_target_blue_evidence,E,4,0.5810145735740662,0.8713066577911377,0.9694669246673584,0.9694669246673584,-3.5346782207489014,0.02918349765241146,-3.5346782207489014,0.02918349765241146,-3.4096782207489014,0.03306923434138298,-1.4096782207489014,0.24435046315193176,-0.40967822074890137,0.6642133593559265
ordinal-ensemble,probe_alpha_1,ball_color,dominant_color_state,D,3,0.7031230926513672,0.7758924961090088,0.9830003380775452,0.9830003380775452,-3.4122281074523926,0.03299036622047424,-2.4122281074523926,0.0896771028637886,-3.9122281074523926,0.020009668543934822,-0.7872281074523926,0.4554179310798645,-0.9122281074523926,0.4019049108028412
ordinal-ensemble,probe_alpha_1,ball_color,remaining_original_dark_evidence,D,3,0.5392691493034363,0.8021517992019653,0.9394868612289429,0.9394868612289429,-3.9840786457061768,0.01861756294965744,-3.4840786457061768,0.030695170164108276,-5.484078407287598,0.004154139664024115,-0.4840785562992096,0.6165289878845215,-1.1090785264968872,0.33000418543815613
ordinal-ensemble,probe_alpha_1,ball_color,established_target_blue_evidence,E,4,0.5753307342529297,0.8743047714233398,0.9763790965080261,0.9763790965080261,-3.656240940093994,0.02584296464920044,-3.531240940093994,0.0292839165776968,-3.406240940093994,0.0331830233335495,-1.4062409400939941,0.24519126117229462,-0.40624094009399414,0.6664988398551941
ordinal-ensemble,oracle_0.2,ball_color,dominant_color_state,D,3,0.7275062203407288,0.7700358629226685,0.9715226888656616,0.9715226888656616,-3.372507095336914,0.03432593122124672,-2.247507095336914,0.10573132336139679,-3.747507095336914,0.023591846227645874,-0.8725072145462036,0.41817545890808105,-0.8725072145462036,0.41817545890808105
ordinal-ensemble,oracle_0.2,ball_color,remaining_original_dark_evidence,D,3,0.5392691493034363,0.8021517992019653,0.9394868612289429,0.9394868612289429,-3.9840238094329834,0.01861756294965744,-3.4840238094329834,0.030695170164108276,-5.484023571014404,0.004154139664024115,-0.4840237498283386,0.6165289878845215,-1.1090238094329834,0.33000415563583374
ordinal-ensemble,oracle_0.2,ball_color,established_target_blue_evidence,E,4,0.6075682640075684,0.8604121804237366,0.9443495273590088,0.9443495273590088,-3.453397512435913,0.0316540002822876,-3.453397512435913,0.0316540002822876,-3.328397512435913,0.03586868569254875,-1.328397512435913,0.2650356888771057,-0.4533974528312683,0.6357876062393188
ordinal-ensemble,oracle_0.5,ball_color,dominant_color_state,D,3,0.6541404724121094,0.8084286451339722,1.0467640161514282,1.0,-3.6778993606567383,0.025292756035923958,-2.8028993606567383,0.060674164444208145,-4.052899360656738,0.01738343946635723,-0.8028992414474487,0.4483247995376587,-0.8028992414474487,0.4483247995376587
ordinal-ensemble,oracle_0.5,ball_color,remaining_original_dark_evidence,D,3,0.5444625020027161,0.8104791641235352,1.0201853513717651,1.0,-4.027096748352051,0.017833946272730827,-3.527096748352051,0.029403205960989,-5.527096748352051,0.0039792913012206554,-0.527096688747406,0.5905792117118835,-1.0270967483520508,0.35820436477661133
ordinal-ensemble,oracle_0.5,ball_color,established_target_blue_evidence,E,4,0.5424323678016663,0.8865621089935303,1.0046385526657104,1.0,-3.738058090209961,0.023811766877770424,-3.738058090209961,0.023811766877770424,-3.488058090209961,0.030574915930628777,-1.488058090209961,0.22591975331306458,-0.36305806040763855,0.6958818435668945
ordinal-ensemble,oracle_0.8,ball_color,dominant_color_state,D,3,0.6832062005996704,0.7872995138168335,1.0053555965423584,1.0,-3.6442155838012695,0.02615947276353836,-2.5192155838012695,0.08057685196399689,-3.8942155838012695,0.020373016595840454,-0.7692157030105591,0.4636877179145813,-0.8942157030105591,0.4092029631137848
ordinal-ensemble,oracle_0.8,ball_color,remaining_original_dark_evidence,D,3,0.5392691493034363,0.8021517992019653,0.9394868612289429,0.9394868612289429,-3.9840846061706543,0.01861756294965744,-3.4840846061706543,0.030695170164108276,-5.484084606170654,0.004154139664024115,-0.48408448696136475,0.6165289878845215,-1.1090844869613647,0.33000418543815613
ordinal-ensemble,oracle_0.8,ball_color,established_target_blue_evidence,E,4,0.5753307342529297,0.8743047714233398,0.9763790965080261,0.9763790965080261,-3.6562485694885254,0.02584296464920044,-3.5312485694885254,0.0292839165776968,-3.4062485694885254,0.0331830233335495,-1.4062484502792358,0.24519126117229462,-0.4062484800815582,0.6664988398551941
